Codigo;Descricao;Unidade
251915;ALCA,PREF,DIST,CU-NU,25MM2,7F,DQN1956,FP;PEÇ
251918;ALCA,PREF,CU,PRE-REUN,25MM2,D73006,FPM;PEÇ
251921;ALCA,PREF,DIST,CU-NU,16MM2,7F,DQN1956,FP;PEÇ
251927;CINTA,AÇOINOX,19MM,C/FECHO,P/ABRAÇ,D655;PEÇ
251935;LAÇO,PREF,MENS,CORD,ACO,9.5MM,D730.04;PEÇ
251942;SUPORTEPARAFUSO,ABRAÇADNYLON,PM1994I1;PEÇ
251943;ALÇAPREF.CU,CBCONC.BIPOL.10MM²-DED1959;PEÇ
251953;MÃO,FRANCESA,AZ,PERFILADA,1971MM,D43001;PEÇ
251954;MÃO,FRANCESA,AZ,PERFILADA,2548MM,D43001;PEÇ
251956;MAOFRANC.PERFILLGAL,1971MM,PM-1259I2;PEÇ
251961;GRAMPO,LIVAVIVA,DERIV,D71070,FP;PEÇ
251965;ESPAÇADOR,BT-MT,2-336,TIPO1,PM-BR530.03;PEÇ
251968;SUPORTE,SECUNIPOLAR,TIPO1,PM-BR480.02;PEÇ
251969;SUPORTE,SECUNIPOLAR,TIPO2,PM-BR480.02;PEÇ
251971;ALCA,OLHAL,PREF,ACO,2AWG,D73014,FPM;PEÇ
251972;ALCA,OLHAL,PREF,ACO,CA,1/0AWG,D73014,FPM;PEÇ
251973;ALCA,OLHAL,PREF,AÇO,CA,336.4MCM,D73014,F;PEÇ
251975;ESPAÇADOR,LOSAN,RDSPACER,15KV,D53001;PEÇ
251976;ALCA,OLHAL,PREF,ACO,COB,35MM2,D73014,FPM;PEÇ
251983;ALÇC-OLHAL,PREF,LIGAAL,CAL,50MM2,D73014;PEÇ
251984;ALCA-OLHAL,PREF,LIGAAL,CAL,70MM2,D730.1;PEÇ
251986;ESPAÇADOR,BT,2-336,PM-R2182,FP;PEÇ
251990;CINTAPOSTECIRC.AL200MMPM-1257I6R3;PEÇ
251991;CINTAPOSTECIRC.AL220MMPM-1257I8R3;PEÇ
251994;ALCA-OLHAL,PREF,LIGAAL,CAL,25MM2,D730.1;PEÇ
252001;SUPORTE,PEÇA2,FIXCHAVE,REG300A,D45050;PEÇ
252003;CRUZETA,ACO,PERFILLZINCQUENTE5200X10;PEÇ
252009;ALCAPREF,LIGAAL,PRE-REU,54.6MM2,D73006;PEÇ
252020;ALÇA,PREF,AL,BI,CONCENT,10MM2,D730.05.0;PEÇ
252021;ALÇA,PREF,AL,BI,CONCENT,16MM2,D730.05.0;PEÇ
252023;ALÇA,PREF,AZ,BI,CONCENT,16MM2,D730.05.0;PEÇ
252024;ALCA,PREF,DIST,LIGAAL,25MM2,CAL,D730.14;PEÇ
252028;ESPAÇADOR,BT-MT,2-336,TIPO2,PM-BR530.03;PEÇ
252029;ALCAPREFAÇO,PRE-REU25MM,PM2276,FP;PEÇ
252048;LAÇOPREF,LIGAAL,PRE-REUN,25MM2,D73006;PEÇ
252049;LAÇOPREF,LIGAAL,PRE-REU54.6MM2,D73006;PEÇ
252050;LAÇO,LIGAAL,PRE-REU,70MM2,D73006,FPM;PEÇ
252112;ALÇA,AÇO,PRE-REUN,COB,50MM2,D73006,FPM;PEÇ
252113;ALÇA,AÇO,PRE-REUN,COB,95MM2,D73006,FPM;PEÇ
252136;ALCA-OLHAL,PREF,AÇO,CAA,4AWG,D730.14.0;PEÇ
252137;ALCA-OLHAL,PREF,AÇO,CAA,1/0AWG,D730.14.0;PEÇ
252209;LACO,PREFORMADO,LATERALSIMPLES,(SUC);PEÇ
252262;GRAMPO,LINHAVIVA,DERIV,NTC61,FP;UN
252320;CINTA,POSTECIRC,160MM,NTC-02DES.13,FP;PEÇ
252347;ALCA,PREF,AÇO,2AWG,CA/CAA,D730.14,FPM;UN
252364;SUPOR,TRAFO,POSTECIRC,285MM,TP1,D421.01;UN
252854;PINODETOPO,DDT-0317R.3;;;;;;PEÇ
274682;CONECTORCOMPRHAL/CU70MM2/10MM2;PEÇ
274711;CONEC.CUN,ESTRIBO,A336.4,SP185,D71071;PEÇ
274730;CONECTOR,EMENDA,FIBRAOPTICA,D710.28;PEÇ
274810;EMENDA,LIGAAL,MTISOL,35-150MM2,D72004.;UN
274903;CONECTOR,CUN,BIM,MOD.I,D71039;PEÇ
274904;CONECTOR,CUN,BIM,MOD.II,D71039;UN
274911;CONECTOR,CUN,AL,954TR/DR,D71054,FP;PEÇ
274920;CONECTOR,CUN,BIM,MOD.VI,D71039;PEÇ
274921;CONECTOR,CUN,BIM,MOD.VII,D71039;UN
274968;CONEC,PERF,AL-CU,16-150T,1,5-6D,71053,FP;PEÇ
274973;LUVA,EME,COMP,AL,2AWG,PM-Br720.15;PEÇ
274974;LUVA,EME,COMP,AL,1/0AWG,PM-Br720.15;PEÇ
274975;LUVA,EME,COMP,AL,4/0AWG,PM-Br720.15;PEÇ
274978;LUVAREPAROCOND.CA336,4MCMDED-0112I3;PEÇ
274980;LUVA,EME,COMP,AL,336,4AWG,PM-Br720.15;PEÇ
274987;CONEC,CUN,AL,I9,D=23.77-27.71MM,D71054;PEÇ
274988;CONEC,CUN,AL,I11,D=30.18-34.71MM,D71054;PEÇ
274994;CONEC,TERM,COMPR,AL,35MM2,2F,D71038;PEÇ
274995;CONEC,TERM,COMPR,AL,185MM2,2F,D71038;PEÇ
274996;CONECTOR,CUN,BIM,MOD.A,D71039;PEÇ
274997;CONECTOR,CUN,BIM,MOD.B,D71039;PEÇ
274998;CONECTOR,CUN,BIM,MOD.C,D71039;PEÇ
274999;CONECTOR,CUN,BIM,MOD.D,D71039;PEÇ
275003;CONECCUNHDER,VII-BRN,VERM,D1786I10,FP;PEÇ
275009;ABRAÇ,PLÁST,1.8X7.6X390MM,PM-BR761.01;PEÇ
275010;ABRAÇ,PLÁST,2X8.9X770MM,PM-BR761.01;PEÇ
275011;ABRAÇ,PLÁST,2X8.9X1095MM,PM-BR761.01;PEÇ
275020;ESTRIBO,BRACO,L,AZ,SPACER,D456.02;PEÇ
275025;CONECTOR,TERM,PINO,1X120-600,M42,D780.11;PEÇ
275026;ABRAÇ,PLÁST,1.3X4.6X200MM,PM-BR761.01;PEÇ
275028;CONECTOR,CUN,BIM,MOD.L,D71039;PEÇ
275029;EMENDARETA,12/20kV,95-240mm²-GSCC004;PEÇ
275059;LUVA.EMENDA.COMPRES.1/0AWGCAA,FP;PEÇ
275066;CONEC,PERF,AL-CU,25-120TR/DR,D71053,FP;PEÇ
275068;LUVA,EMEND,ISOL,AL,BT,35MM2,PM-R720.24.0;PEÇ
275069;LUVA,EMEND,ISOL,AL,BT,50MM2,PM-R720.24.0;PEÇ
275070;LUVA,EMEND,ISOL,LA,BT,50MM2,PM-R720.24.0;PEÇ
275072;LUVA,EMEND,ISOL,AL,BT,95MM2,PM-R720.24.0;PEÇ
275073;LUVA,EMEN,ISOL,AL,BT,150MM2,PM-R720.24.0;PEÇ
275074;ABRAÇ,PLÁST,1X2.5X100MM,PM-BR761.01;PEÇ
